id	date	home_team	home_team_score	visit_team	visit_team_score
400489488	2014-01-20	Golden State Warriors	94	Indiana	102
400489518	2014-01-24	Golden State Warriors	120	Minnesota	121
400489533	2014-01-26	Golden State Warriors	103	Portland	88
400489546	2014-01-28	Golden State Warriors	85	Washington	88
400489561	2014-01-30	Golden State Warriors	111	LA	92
400489569	2014-01-31	Utah	90	Golden State Warriors	95
400489597	2014-02-04	Golden State Warriors	75	Charlotte	91
400489611	2014-02-06	Golden State Warriors	102	Chicago	87
400489627	2014-02-08	Phoenix	122	Golden State Warriors	109
400489661	2014-02-12	Golden State Warriors	110	Miami	111
400489683	2014-02-19	Sacramento	92	Golden State Warriors	101
400489687	2014-02-20	Golden State Warriors	102	Houston	99
400489715	2014-02-24	Detroit	96	Golden State Warriors	104
400489728	2014-02-26	Chicago	103	Golden State Warriors	83
400489772	2014-03-04	Indiana	96	Golden State Warriors	98
400489800	2014-03-07	Golden State Warriors	111	Atlanta	97
400489815	2014-03-09	Golden State Warriors	113	Phoenix	107
400489829	2014-03-11	Golden State Warriors	108	Dallas	85
400489840	2014-03-12	LA	111	Golden State Warriors	98
400489853	2014-03-14	Golden State Warriors	94	Cleveland	103
400489867	2014-03-16	Portland	112	Golden State Warriors	113
400489880	2014-03-18	Golden State Warriors	103	Orlando	89
400489894	2014-03-20	Golden State Warriors	115	Milwaukee	110
400489911	2014-03-22	Golden State Warriors	90	San Antonio	99
400489959	2014-03-28	Golden State Warriors	100	Memphis	93
400489985	2014-04-01	Dallas	120	Golden State Warriors	122
400489996	2014-04-02	San Antonio	111	Golden State Warriors	90
400490014	2014-04-04	Golden State Warriors	102	Sacramento	69
400490028	2014-04-06	Golden State Warriors	130	Utah	102
400490048	2014-04-10	Golden State Warriors	99	Denver	100
400490061	2014-04-11	Los Angeles	95	Golden State Warriors	112
400490074	2014-04-13	Portland	119	Golden State Warriors	117
400490086	2014-04-14	Golden State Warriors	130	Minnesota	120
400490103	2014-04-16	Denver	112	Golden State Warriors	116
400488876	2014-10-29	Los Angeles	116	LA Clippers	103
400488904	2014-11-01	Sacramento	101	LA Clippers	110
400488923	2014-11-04	LA Clippers	137	Houston	118
400488935	2014-11-06	Orlando	98	LA Clippers	90
400488943	2014-11-07	Miami	102	LA Clippers	97
400488963	2014-11-09	Houston	94	LA Clippers	107
